T0.4-EVAL | Terra | high | 1 | evaluator foundation and adversarial harness require independent high-effort evaluator context | APPROVED BY USER 2026-07-14; PASS 8/8 plus 13/13 self-tests
T0.1 | Luna | medium | 1 | Mechanical version locks, preflight, and ledgers with exact acceptance | PASS
T0.2 | Terra | medium | 1 | Closed Oracle capability-probe contract | PASS 9/9 live capabilities after compliant SPFILE tuning
T0.3 | Terra | medium | 1 | Standard AutoREST wire-contract implementation | PASS 23/23 including high-entropy large payloads
T1.1-IMPL | Terra | medium | 1 | Closed local Compose, health, secrets, and static-root contract | PASS 36/36 fresh-volume live assertions
T1.2 | Luna | medium | 1 | Mechanical ordered bootstrap and SQL wrapper | PASS 15/15 static and fresh-stack live assertions
T1.3 | Terra | medium | 1 | Closed cloud bootstrap contract with deterministic guarded deployment scripts | PASS 12/12 dry-run assertions; real cloud mutation intentionally not run
T2.2-EVAL | Terra | high | 1 | independent binary-parser fixtures, stable error oracle, deterministic-output checks, and mutation contracts | APPROVED BY USER 2026-07-14; fixture self-check PASS 17/17
T2.1 | Luna | medium | 1 | Mechanical vendoring, exact offline hashes, and legal provenance with closed acceptance | PASS 10/10 offline assertions; earlier static gates and production audit green
T2.2-IMPL | Terra | high | 1 | Approved closed binary-parser contract requires structured readers, exact asset semantics, stable rejection codes, and deterministic output | PASS 19/19 visible ids, 10/10 semantic mutants killed, pinned E1M1 counts/bounds exact
T2.3-EVAL | Sol | high | 1 | independent E1M1 closure, behavior/state graph, animation, RNG, provenance, and mutation oracle requires simulation-grade reasoning | APPROVED BY USER 2026-07-14; evaluator self-check PASS 36/36
T2.4-EVAL | Terra | high | 1 | independent deterministic SQL batching, provenance/hash/texel closure oracle, and two-tree reproducibility contract | APPROVED BY USER 2026-07-14; evaluator self-check PASS 65/65
T2.3-IMPL | Sol | high | 1 | approved closure graph, exact WAD provenance, independently authored state/action semantics, and deterministic RNG require simulation-grade reasoning | PASS 135/135 visible; 12/12 semantic mutations killed; T2.1/T2.2 regressions, immutable audit, production audit, and repeat generation PASS
T2.4-IMPL | Terra | medium | 1 | closed deterministic SQL batching, exact WAD provenance, closure-only decoding, dense texel generation, and canonical tree manifest | PASS 168/168 visible; 14/14 isolated semantic mutations killed; T2.1-T2.3 regressions, immutable audit, production audit, and checked-tree identity PASS
T3.2-EVAL | Terra | high | 1 | independent Spatial geometry, calculated metadata, R-tree state, stable vector metrics, and exact-predicate false-positive oracle | APPROVED BY USER 2026-07-14; candidate hashes PASS 9/9; inherited baselines PASS 4/4; self-check PASS 58/58; foundation PASS 8/8 plus 13/13 self-tests
T3.1-IMPL | Terra | medium | 1 | mechanical constrained Section 5 schema, deterministic ordered seed load, grants, configuration, and bad-reference/idempotence checks under the approved T0.4 generic evaluator | PASS 37/37; two complete fresh-volume bootstraps identical, exact manifest counts, invalid references rejected, all constraints validated, production object audit green
T3.2-IMPL | Terra | medium | 1 | approved closed Spatial geometry, calculated metadata, R-tree validity, stable directed metrics, and exact-predicate contract | PASS 136/136 after approved evaluator correction; live production and mini-map, T3.1 37/37 regression, immutable audit, source audit, and production isolation green
T3.3-EVAL | Sol | high | 1 | independent BSP side math, root-to-leaf traversal, facing-sector resolution, all-THINGS probes, boundary oracle, and semantic mutations require simulation-grade reasoning | APPROVED BY USER 2026-07-14; candidate hashes PASS 9/9; inherited baselines PASS 5/5; self-check PASS 60/60; foundation PASS 8/8 plus 13/13 self-tests
T3.3-IMPL | Sol | high | 1 | set-based SQL-macro BSP traversal, deterministic path aggregation, live pinned-WAD probes, and semantic mutation execution require simulation-grade reasoning | PASS 455/455; 15/15 semantic mutations killed after approved fractional-bind correction; fresh bootstrap/init grant, T3.2 regression, integrity, source, production-isolation, cloud, and secret audits green
T3.2-EVAL-CORRECTION | Terra | high | 1 | approved evaluator-only pinned-Oracle collection access and disposable-schema runner compatibility corrections | APPROVED BY USER 2026-07-14; PASS 136/136 live, mini-map 6/6, self-check 58/58, integrity 13/13, foundation 8/8 plus 13/13 adversarial attacks rejected
T3.4-EVAL | Sol | high | 1 | independent raw BLOCKMAP/REJECT binary oracle, negative cell math, passable sector multigraph semantics, SQL property graph validation, and isolated semantic mutations require simulation-grade reasoning | APPROVED BY USER 2026-07-14; candidate/inherited hashes PASS 16/16; self-check PASS 60/60; mutation witnesses PASS 17/17; foundation PASS 8/8 plus 13/13 self-tests
T4.1-EVAL | Sol | high | 1 | independent camera-ray, frustum, analytic segment-intersection, transformed-map, facing, stable-order, and nearest-solid oracle requires renderer-grade mathematical reasoning | CANDIDATE pending user approval; self-check PASS 99/99; mutation witnesses PASS 16/16; inherited integrity and evaluator foundation green
T3.4-EVAL-CORRECTION | Sol | high | 1 | approved evaluator-only bounded directed BFS over fixed one-hop GRAPH_TABLE scans replaces combinatorial CONNECT BY reachability | APPROVED BY USER 2026-07-14; PASS 3300/3300 live; self-check 60/60; mutations 17/17; integrity 16/16; foundation 8/8 plus 13/13 adversarial attacks rejected
T3.3-EVAL-CORRECTION | Sol | high | 1 | approved evaluator-only fractional call-time bind probe kills rounding without changing production or interfaces | APPROVED BY USER 2026-07-14; PASS 455/455 live; self-check 61/61; T33-M12 killed by intended T33-BIND-SAFETY assertion; prior 14/14 mutation kills preserved
T3.4-IMPL | Sol | high | 1 | set-based binary BLOCKMAP/REJECT materialization, stable directed multigraph construction, real Oracle SQL property graph, and exact ordered document verification require simulation-grade reasoning | PASS 3300/3300; 17/17 mutation witnesses killed; two complete 14-entry bootstraps; T3.3 455/455 and T3.2 136/136 regressions; integrity, source, production-isolation, cloud, and secret audits green
T4.3-EVAL | Terra | high | 1 | independent SQL/RLE/palette/RGBA/indexed-PNG agreement, diagnostic artifacts, anti-cheat controls, and explicit human-visible-golden boundary require high-effort evaluator context | APPROVED BY USER 2026-07-14; integrity 13/13; self-check 43/43; mutation witnesses 16/16; foundation 8/8; adversarial 13/13; visible goldens intentionally remain absent pending separate human checkpoint; approved manifest 70dd7e9e847690f4fdb3662914e918b26d31b358ca546876d04dd7f074547765
T4.2-EVAL | Sol | high | 1 | independent WAD texture composition, reverse projection, wall coordinates, pegging, COLORMAP lighting, dense-frame and raw-byte hash oracles require renderer-grade mathematical reasoning | APPROVED BY USER 2026-07-14 after T4.1 dependency refresh; reviewed candidate SHA-256 20708e11cdb11bfc2647525b003de76447702dfefbc02f06521f432cbd52e1fa; candidate/inherited hashes PASS 19/19; self-check PASS 139/139; mutation witnesses PASS 18/18; foundation PASS 8/8 plus 13/13 adversarial attacks rejected
T4.1-IMPL | Sol | high | 1 | approved set-based camera rays, Spatial frustum reduction, exact analytic intersections, stable portal-aware ordering, and nearest-solid selection require renderer-grade mathematical reasoning | BLOCKED after fresh 2GiB bootstrap: frozen evaluator issues SET CONSTRAINTS as static SQL inside PL/SQL and fails ORA-00922 before production execution; minimal evaluator-only statement move documented for user approval
T5.1-EVAL | Sol | max | 1 | independent all-hit portal transitions, analytic sector intervals, height-piece oracle, overlapping and vertex-tie resolution, transformed scenes, and semantic mutations require complete R2 design at the task-mandated route | CANDIDATE pending user approval; self-check PASS 97/97; mutation witnesses PASS 18/18; integrity and evaluator foundation green
T4.1-IMPL | Sol | high | 2 | approved evaluator correction exposed nested SQL-macro parameter expansion; shared relational views and BINARY_DOUBLE camera math preserve one general implementation and the frozen TypeScript numeric contract | PASS 1296/1296 live; 16/16 mutation witnesses; fresh 2GiB bootstrap; T3.2-T3.4 regressions, integrity, production isolation, cloud skeleton, and secret audits green
T4.2-IMPL | Sol | high | 1 | relational dense-frame projection, WAD wall/flat texel addressing, pegging, negative-safe coordinates, and COLORMAP lighting require renderer-grade mathematical reasoning | BLOCKED before assertions: frozen evaluator places SET CONSTRAINTS inside PL/SQL and Oracle raises ORA-00922; manifest/source hashes preserved; minimal evaluator-only statement move documented; self-check 139/139, mutation self-check 18/18, and production source audit green; no dashboard frame published
T4.2-EVAL-CORRECTION | Sol | high | 1 | evaluator-only Oracle statement placement correction under explicit and standing user approval | RESOLVED: moved unchanged SET CONSTRAINTS ALL DEFERRED immediately before DECLARE and removed in-block copy; no assertion, fixture, expectation, interface, or production change; self-check 139/139; mutations 18/18; source audit PASS; integrity 19/19; T0.4 8/8; adversarial 13/13; corrected source b58d3423a5a4b7b67bd8ff5e776cbee590421fd5c80ee5af3d0da810d192f57e; promoted manifest 1cd2021266edea250fd11f9d285a5cdeb3d1fe826c5b557a3d95408d4cd70429
T4.2-IMPL | Sol | high | 2 | full corrected live runner against relational dense-frame production | PERFORMANCE HANDOFF: evaluator passed corrected SET CONSTRAINTS and reached DOOM_R1_PIXELS; first dense aggregate SQL_ID 509018q871kg9 remained CPU-bound 513s without a row, with prior abandoned instance about 1890s; session explicitly killed/rolled back to release shared schema; optimized production must rerun frozen live suite in isolation
T4.2-IMPL | Sol | high | 3 | exact binary-double projection, indexed relational texel sampling, pegging, reverse floor/ceiling projection, COLORMAP lighting, and dense-frame determinism require renderer-grade mathematical reasoning | PASS 384426/384426 live in 587.08s full suite; 18/18 semantic mutations killed; AT full-key A/Y/X access confirmed; exact east frame 64000/64000 and SHA 47302a67b53e...; T4.1 1296/1296 and P3 3891/3891 regressions green; reproducible database frame live on dashboard
T4.3-EVAL-REFRESH | Terra | high | 2 | evaluator-only inherited dependency refresh after corrected T4.2 implementation under standing user authorization | RE-PROMOTED 2026-07-15: only T4.2 manifest pointer, matching self-check literal, and approval/report metadata changed; self-check 43/43; mutations 16/16; source audit PASS (576 files); integrity 13/13; foundation 8/8; adversarial 13/13; human visual state PENDING with 0 goldens; manifest dcad45627af0e9483dc4d88ca5e2b7570878441f675d88bcd925db6901ae4273; self-check source 3d9eeabf951d56bc590d962f10cc3f9300c100af87c3625d3d460758cf780fbc; T4.2 production 051b61499937294d3ee205e265fbbd9fec4bf4c2deb7836e0c6c26a94ed85a0c
T4.3-EVAL-CORRECTION | Terra | high | 3 | evaluator-only pinned-Oracle SQL macro parser correction under standing user authorization | RESOLVED 2026-07-15: independently reproduced ORA-64630 for TABLE(DOOM_R1_PIXELS(...)) inside WITH; replaced only two CTE wrappers with nested inline views while preserving macro consumption, LAG/running sum/group/order/output; live syntax PASS; self-check 43/43; mutations 16/16; source audit PASS (576 files); integrity 13/13; foundation 8/8; adversarial 13/13; PENDING visual state and 0 goldens unchanged; corrected source 994f554e54d46da62479a7b61f76f7355926fbe6be5eb8c7bb3c212a59148ee6; promoted manifest 5b4c05e8b366d4058ef6b0f81f37476b778958eb9e6b540a295561f181fe8608
T4.3-EVAL-CORRECTION | Terra | high | 4 | evaluator-only frozen fixture diagnostic wiring correction under standing user authorization | RESOLVED 2026-07-15: contract requires 8 pixels x 4 palette/RGBA checks x 3 poses = 96 while prior runner defaulted to 4 pixels; wired frozen diagnosticColumns/diagnosticPixels into existing reference call and guarded it in unchanged 43-check self-test; temporary observation emitted 8 pixels/6 columns with PNG and RGBA byte-identical; captured output untouched; mutations 16/16; source audit PASS (578 files); integrity 13/13; foundation 8/8; adversarial 13/13; PENDING/0 goldens unchanged; runner b851509c1b7d0707a426263dd38ab13582604265663922af1ba1b2a9ba31fe12; self-check df847019b91020bc10e818871eb2f6dbc6eeee35200084a57a710c06758258b6; promoted manifest 38927540dc430ff6d3476738f122577ec15bf4ab104628282a4f19a7e7c5977a
T4.3-IMPL | Terra | medium | 1 | three-pose database capture, independent SQL RLE/RGBA/indexed-PNG agreement, direct original-resolution visual inspection, and separately frozen visible identities require the plan-mandated human checkpoint | PASS 1282017/1282017; 16/16 mutations; three distinct 64000-pixel frames inspected and approved under standing authorization; reviewed PNG hashes d46e56cd..., 2db00d6a..., 5ee8b950...; visible baseline integrity 8b6ed7ec...; all three images and pose selector live on dashboard
T6.2-EVAL | Sol | high | 1 | independent swept-circle collision, dynamic portal opening, stable two-contact sliding, destination BSP ownership, and isolated semantic mutation oracle require simulation-grade reasoning | APPROVED BY USER STANDING AUTHORIZATION 2026-07-14; candidate manifest ce2fb59e604d2b5a4fc5178824ccfe9cc77479e4229430d77033b43246afa6e5; promoted manifest 199b20a2207fb724e8131bf43512fbc195d33e397df04cd07933938b7d4c2251; 22 IDs/372 assertions; 16 scenarios; self-check 80/80; mutations 18/18; integrity 27/27; foundation 8/8 plus 13/13 adversarial attacks rejected
T6.1-EVAL | Sol | high | 1 | independent Appendix F transaction-order oracle, canonical logical state hashing, rollback semantics, retry identity, and real concurrent-session validation require high-effort evaluator context | APPROVED BY USER 2026-07-14 under standing approval; reviewed candidate 8a7d7b32c001a2317abdb09361e843fdad94fc59e9c06dae194194c304f06621; integrity 18/18; self-check 70/70; mutation witnesses 18/18; foundation 8/8 plus 13/13 adversarial attacks rejected
T6.1-IMPL | Sol | high | 1 | session-serialized Appendix F transaction, exact canonical JSON/state hashing, deterministic retry bytes, rollback/error semantics, and real conflicting concurrent Oracle callers require simulation-grade reasoning | PASS 430/430; 18/18 mutation witnesses; concurrency 4/4; integrity 18/18; foundation, bootstrap/static schema, cloud, and secret regressions green
T6.2-IMPL | Sol | high | 1 | exact finite-segment swept-circle contact, live portal openings, deterministic two-contact sliding, and destination BSP ownership require simulation-grade reasoning | PASS 372/372; 22/22 IDs; 16-scenario oracle self-check 80/80; 18/18 mutations; production + mini-map 10/10 live; fresh 537-file seed/18-file bootstrap; T6.1 430/430 and concurrency 4/4; static/schema/secret/foundation regressions green
T6.3-IMPL | Sol | high | 1 | exact relational use/crossing discovery, deterministic plane machines, occupancy, hazards, lights, secrets, and exit composition require simulation-grade reasoning | PASS 906/906; 28/28 IDs; evaluator self 67/67; mutations 20/20; production live; fresh 537-file seed/19-file bootstrap; T6.1 430/430 plus concurrency 4/4 and T6.2 372/372 regressions green; foundation/static/secret gates green
T6.3-EVAL-CORRECTION | Sol | high | 1 | evaluator-only identifier-boundary correction under user standing authorization | RESOLVED: mandatory DOOM_MAP_LINEDEF/DOOM_MAP_SECTOR no longer collide with the intended P_/CALLER_ direct-input ban; direct caller inputs remain rejected; no behavior, fixture, interface, assertion, mutation, or Oracle expectation change; self-check 67/67; mutations 20/20; source audit PASS; integrity 26/26; T0.4 8/8; adversarial 13/13; corrected source ba2949d252a637ffb73a25cf887ce082b7a98a3525bcfd36ed8f4acd0f215dd8; promoted manifest 3e4a5d765cd55dc06902f04fc5076a5c5bd9ff2d56a9df0cf6ad2dd17ee2ee23
T6.3-EVAL-ORACLE-CORRECTION | Sol | high | 1 | evaluator-only Oracle SQL/PLSQL legality correction under user standing authorization | RESOLVED: unchanged STANDARD_HASH expression selected from DUAL into the existing token variable; live syntax probe PASS and full runner parses beyond corrected line; no fixture, behavior, assertion, mutation, interface, or production change; self-check 67/67; mutations 20/20; source audit PASS; integrity 26/26; T0.4 8/8; adversarial 13/13; corrected runner efd30d78b7d45bb7e0e908e81a5158692af55e639da6512062f6aad11fad7b4c; promoted manifest 29a7574575f2fb765d7d4179447d9fb37d465cca823aed7c022f8b74790bfb83
T6.4-EVAL | Terra | high | 1 | independent lineage-qualified append-only history, canonical snapshot closure, nearest reconstruction, save/load, rewind, replay cursor, state/frame continuity, and corruption oracle require high-effort persistence reasoning | APPROVED BY USER STANDING AUTHORIZATION 2026-07-14; 28 IDs/848 assertions; self-check 69/69; mutations 20/20; source-policy self-check PASS; integrity 28/28; foundation 8/8 plus 13/13 adversarial attacks rejected; promoted manifest eb415b4e69e4f22f945dd545a63c876d1c29d273ae1edda246a64f6b0b9b314c
